TICKER,INVESTMENT_DATE,INVESTMENT_AMOUNT,DISTRIBUTION_DATES,DISTRIBUTION_AMOUNTS,VALUATION_DATE,CURRENT_NAV,IRR,MOIC,DPI,TVPI
0F17515D-B184-4D46-980A-2AE0FD51226D,2023-04-03,1252411.43,"[datetime.date(2029, 7, 18), datetime.date(2030, 2, 26), datetime.date(2025, 9, 18)]","[750375.13, 423839.38, 486938.28]",2030-02-26,609442.86,0.3054,1.813,1.3264,1.813
C943BCD3-B0F9-4E90-9F1F-2DF93E488475,2018-11-26,4297166.05,[],[],2023-11-25,1781740.29,-0.5854,0.4146,0.0,0.4146
1B99FDCF-469B-43D6-9041-9A3CDAB4CF28,2021-04-11,8795608.01,"[datetime.date(2025, 10, 8), datetime.date(2024, 4, 16)]","[4371108.17, 5126202.24]",2025-10-08,3991248.48,0.252,1.5336,1.0798,1.5336
9492E8FD-9AD9-431E-B05E-E02ABB8E74DA,2024-01-02,6034802.62,"[datetime.date(2029, 1, 20), datetime.date(2027, 12, 16), datetime.date(2027, 1, 21), datetime.date(2025, 6, 8)]","[1574923.32, 1663511.45, 3467394.3, 3444789.88]",2029-01-20,946518.15,0.2337,1.8389,1.682,1.8389
E9BF3F80-4BE8-4692-AEB8-45018F0AD341,2020-03-12,1971296.09,[],[],2025-03-11,3328399.89,0.6884,1.6884,0.0,1.6884
B8FB1C62-8785-4369-8486-F0B8C81E4DE3,2019-09-16,8439817.77,"[datetime.date(2024, 10, 21), datetime.date(2020, 4, 9)]","[3114222.34, 4176938.37]",2024-10-21,2578888.42,0.0848,1.1695,0.8639,1.1695
7BCA12A3-BFD6-4DB6-A14B-7D7225A01710,2023-02-08,3571635.77,"[datetime.date(2026, 5, 7), datetime.date(2028, 10, 29), datetime.date(2026, 12, 22)]","[1800196.2, 433781.06, 2062542.25]",2028-10-29,207751.69,0.1172,1.2611,1.203,1.2611
3B229A9F-B932-4F1A-95CE-095A651FC8DB,2021-12-08,4213262.63,[],[],2026-12-07,6528917.17,0.5496,1.5496,0.0,1.5496
18271878-4FCC-4FB4-A18C-98B3F731C897,2019-11-21,6633161.07,"[datetime.date(2023, 6, 28), datetime.date(2023, 10, 22), datetime.date(2024, 6, 10), datetime.date(2023, 2, 23)]","[3347422.96, 1606859.22, 1930626.23, 3213974.65]",2024-06-10,2281627.2,0.2596,1.8665,1.5225,1.8665
A73D9A01-70B4-4E0B-9151-08F49E6BF418,2020-03-29,2559942.06,"[datetime.date(2023, 3, 7), datetime.date(2026, 3, 5), datetime.date(2024, 12, 28)]","[848089.34, 700445.23, 811134.32]",2026-03-05,2282705.35,0.2346,1.8135,0.9218,1.8135
A5EEA0FF-7962-4FCF-9B6F-2E94BE0B31B3,2018-09-10,4875206.17,"[datetime.date(2021, 11, 19), datetime.date(2023, 12, 29)]","[2162907.17, 1492932.32]",2023-12-29,5431732.12,0.3177,1.864,0.7499,1.864
1CFB4EDA-CD32-40A5-9222-2F3248BC882F,2019-06-04,7716007.61,"[datetime.date(2022, 5, 22), datetime.date(2026, 3, 12), datetime.date(2020, 6, 21)]","[2627817.94, 4273842.09, 1165571.63]",2026-03-12,1668283.73,0.1149,1.2617,1.0455,1.2617
9B97A176-77FE-4DE4-9CC7-CB52016A6E44,2024-07-04,7836890.94,"[datetime.date(2027, 10, 31), datetime.date(2026, 9, 11), datetime.date(2030, 2, 14), datetime.date(2028, 9, 28)]","[2329935.39, 4141417.89, 2018037.62, 3036693.12]",2030-02-14,507555.97,0.1881,1.5355,1.4707,1.5355
64C4BEE6-826C-4DA4-972A-89B7B38DE8A7,2024-08-30,2223748.42,[],[],2029-08-29,2751521.42,0.2373,1.2373,0.0,1.2373
A1EC7225-AB22-4851-A532-FA300A6B1D73,2022-12-03,8067221.79,"[datetime.date(2028, 1, 6), datetime.date(2025, 5, 7)]","[2808479.53, 1416710.4]",2028-01-06,5716714.83,0.097,1.2324,0.5237,1.2324
E06243AD-26DC-4263-8439-002F9987F5B0,2024-09-25,4399257.37,"[datetime.date(2031, 9, 2)]",[859781.57],2031-09-02,7247431.31,0.385,1.8429,0.1954,1.8429
A9BE6CD2-8ADB-4CCC-8922-074215EE4B4B,2019-12-25,9331332.26,"[datetime.date(2024, 2, 21), datetime.date(2022, 2, 15)]","[1360756.03, 2390527.64]",2024-02-21,11874770.97,0.2164,1.6746,0.402,1.6746
8BA5E7E6-0EFA-46C1-8DE5-E92255E6468F,2021-03-14,7309178.56,[],[],2026-03-13,9954552.68,0.3619,1.3619,0.0,1.3619
8524A8E8-DB3C-4674-99A6-F947771E2BD5,2024-10-28,1525045.61,"[datetime.date(2030, 1, 3)]",[376783.7],2030-01-03,102017.7,-0.5898,0.314,0.2471,0.314
F1C97F7D-D6B2-4273-AD4D-C834C37EC89B,2024-07-08,7396933.75,"[datetime.date(2026, 1, 9), datetime.date(2025, 5, 15), datetime.date(2026, 8, 10), datetime.date(2026, 9, 7)]","[1937653.32, 3713486.91, 1392302.86, 4243410.35]",2026-09-07,84707.74,0.1791,1.5373,1.5259,1.5373
659C1470-ACEA-42C2-9B99-4CD9FA0841E8,2022-02-02,5409065.69,"[datetime.date(2026, 6, 12)]",[756829.81],2026-06-12,7475306.0,0.2476,1.5219,0.1399,1.5219
0769A00A-8C46-4E9B-B20C-4489784E879F,2024-09-12,6928503.45,"[datetime.date(2026, 11, 7), datetime.date(2026, 9, 23), datetime.date(2028, 8, 7), datetime.date(2029, 9, 11)]","[4022224.18, 1688810.95, 2825108.8, 2519540.2]",2029-09-11,1391678.12,0.2745,1.7965,1.5957,1.7965
BBAC0026-0C2E-4C03-8BA0-37B3B7C69177,2023-02-23,2289379.75,"[datetime.date(2025, 3, 6), datetime.date(2029, 12, 18)]","[260247.5, 1200179.07]",2029-12-18,188322.37,-0.1529,0.7202,0.6379,0.7202
C8E35F50-56A0-4B94-B5AF-F7ED225849D0,2019-03-18,1282793.63,[],[],2024-03-16,744137.56,-0.4199,0.5801,0.0,0.5801
B5657C8A-2CA8-4EF2-B0B1-CC0D6217FB0E,2023-06-06,3398831.49,"[datetime.date(2026, 2, 22), datetime.date(2029, 1, 27), datetime.date(2025, 2, 26), datetime.date(2026, 8, 31)]","[1646541.72, 1252995.85, 776647.73, 928709.18]",2029-01-27,1484636.58,0.2477,1.7917,1.3548,1.7917
B0A29083-0320-4E9D-906E-8802CDF3E190,2024-12-07,6886122.21,"[datetime.date(2029, 3, 30), datetime.date(2029, 3, 5), datetime.date(2027, 11, 24)]","[2123004.38, 1849937.91, 1663714.66]",2029-03-30,3072149.88,0.095,1.2647,0.8186,1.2647
C0D1DD84-7F08-4948-91B3-74AE1217C46A,2020-09-16,8085524.97,[],[],2025-09-15,10621639.19,0.3137,1.3137,0.0,1.3137
BF872E57-0F7F-4B96-BDCE-05B326BEDE44,2019-09-01,6938062.66,"[datetime.date(2021, 12, 20), datetime.date(2025, 4, 13)]","[1212806.02, 2590148.37]",2025-04-13,4993642.56,0.1038,1.2679,0.5481,1.2679
F7A96645-20F9-4728-BCAB-BF08352FFCC6,2024-04-07,7611603.19,[],[],2029-04-06,4415913.19,-0.4198,0.5802,0.0,0.5802
307232AD-449D-472B-BDD5-FD05F647A015,2019-12-25,9722228.29,"[datetime.date(2022, 6, 2)]",[2291622.44],2022-06-02,16468553.4,0.4247,1.9296,0.2357,1.9296
09EBDFCA-1BFF-4E3A-9E4A-6DE12CF4A328,2023-02-12,7686056.0,[],[],2028-02-11,14058378.48,0.8291,1.8291,0.0,1.8291
CA74029E-91B4-4B2B-8C0A-8109390EABEA,2021-06-26,8500408.89,"[datetime.date(2025, 1, 15), datetime.date(2027, 3, 25), datetime.date(2022, 6, 25), datetime.date(2022, 1, 14)]","[1402087.92, 3796182.94, 1371081.51, 3114357.48]",2027-03-25,6607286.59,0.2111,1.9165,1.1392,1.9165
96B40BC7-2198-4154-ADE3-8C892BF27530,2023-02-08,8374090.0,"[datetime.date(2023, 9, 15), datetime.date(2025, 12, 25), datetime.date(2029, 12, 21)]","[2372369.71, 4272127.15, 3503568.66]",2029-12-21,1120479.81,0.1414,1.3456,1.2118,1.3456
